,sFIPS,wf,cost,bass
0,01001,0,0,0
1,01003,0,0,1
2,01005,0,0,0
3,01007,0,0,0
4,01009,0,0,0
5,01011,0,0,0
6,01013,0,0,0
7,01015,0,0,0
8,01017,0,0,0
9,01019,0,0,0
10,01021,0,0,0
11,01023,0,0,0
12,01025,0,0,0
13,01027,0,0,0
14,01029,0,0,0
15,01031,0,0,0
16,01033,0,0,0
17,01035,0,0,0
18,01037,0,0,0
19,01039,0,0,0
20,01041,0,0,0
21,01043,0,0,0
22,01045,0,0,0
23,01047,0,0,0
24,01049,0,0,0
25,01051,0,0,1
26,01053,0,0,0
27,01055,0,0,0
28,01057,0,0,0
29,01059,0,0,0
30,01061,0,0,0
31,01063,0,0,0
32,01065,0,0,0
33,01067,0,0,0
34,01069,0,0,0
35,01071,0,0,0
36,01073,0,0,0
37,01075,0,0,0
38,01077,0,0,0
39,01079,0,0,0
40,01081,0,0,0
41,01083,0,0,0
42,01085,0,0,0
43,01087,0,0,0
44,01089,1,1,1
45,01091,0,0,0
46,01093,0,0,0
47,01095,0,0,0
48,01097,1,1,0
49,01099,0,0,0
50,01101,1,1,0
51,01103,0,0,0
52,01105,0,0,0
53,01107,0,0,0
54,01109,0,0,0
55,01111,0,0,0
56,01113,0,0,0
57,01115,0,0,0
58,01117,1,1,1
59,01119,0,0,0
60,01121,0,0,0
61,01123,0,0,0
62,01125,0,0,0
63,01127,0,0,0
64,01129,0,0,0
65,01131,0,0,0
66,01133,0,0,0
67,02701,0,0,0
68,02702,0,0,0
69,02703,0,0,0
70,02704,0,0,0
71,02705,0,0,0
72,02706,0,0,0
73,02707,0,0,0
74,02708,0,0,0
75,02709,0,0,0
76,02710,0,0,0
77,02711,0,0,0
78,02712,0,0,0
79,02713,0,0,0
80,02714,0,0,0
81,02715,0,0,0
82,02716,0,0,0
83,02717,0,0,0
84,02718,0,0,0
85,02719,0,0,0
86,02720,0,0,0
87,02721,0,0,0
88,02722,0,0,0
89,02723,0,0,0
90,02724,0,0,0
91,02725,0,0,0
92,02726,0,0,0
93,02727,0,0,0
94,02728,0,0,0
95,02729,0,0,0
96,02730,0,0,0
97,02731,0,0,0
98,02732,0,0,0
99,02733,0,0,0
100,02734,0,0,0
101,02735,0,0,0
102,02736,0,0,0
103,02737,0,0,0
104,02738,0,0,0
105,02739,0,0,0
106,02740,0,0,0
107,04001,0,0,0
108,04003,0,0,0
109,04005,1,0,0
110,04007,0,0,0
111,04009,0,0,0
112,04011,0,0,0
113,04012,0,0,0
114,04013,1,1,1
115,04015,0,0,0
116,04017,0,0,0
117,04019,1,1,0
118,04021,0,0,0
119,04023,0,0,0
120,04025,1,1,0
121,04027,0,0,0
122,05001,0,0,0
123,05003,0,0,0
124,05005,0,0,0
125,05007,0,0,1
126,05009,0,0,0
127,05011,0,0,0
128,05013,0,0,0
129,05015,0,0,0
130,05017,0,0,0
131,05019,0,0,0
132,05021,0,0,0
133,05023,0,0,0
134,05025,0,0,0
135,05027,0,0,0
136,05029,0,0,0
137,05031,0,0,0
138,05033,0,0,0
139,05035,0,0,0
140,05037,0,0,0
141,05039,0,0,0
142,05041,0,0,0
143,05043,0,0,0
144,05045,0,0,0
145,05047,0,0,0
146,05049,0,0,0
147,05051,0,0,0
148,05053,0,0,0
149,05055,0,0,0
150,05057,0,0,0
151,05059,0,0,0
152,05061,0,0,0
153,05063,0,0,0
154,05065,0,0,0
155,05067,0,0,0
156,05069,0,0,0
157,05071,0,0,0
158,05073,0,0,0
159,05075,0,0,0
160,05077,0,0,0
161,05079,0,0,0
162,05081,0,0,0
163,05083,0,0,0
164,05085,0,0,0
165,05087,0,0,0
166,05089,0,0,0
167,05091,0,0,0
168,05093,0,0,0
169,05095,0,0,0
170,05097,0,0,0
171,05099,0,0,0
172,05101,0,0,0
173,05103,0,0,0
174,05105,0,0,0
175,05107,0,0,0
176,05109,0,0,0
177,05111,0,0,0
178,05113,0,0,0
179,05115,0,0,0
180,05117,0,0,0
181,05119,1,0,0
182,05121,0,0,0
183,05123,0,0,0
184,05125,0,0,1
185,05127,0,0,0
186,05129,0,0,0
187,05131,0,0,0
188,05133,0,0,0
189,05135,0,0,0
190,05137,0,0,0
191,05139,0,0,0
192,05141,0,0,0
193,05143,1,0,0
194,05145,0,0,0
195,05147,0,0,0
196,05149,0,0,0
197,06001,1,1,0
198,06003,0,0,0
199,06005,0,0,0
200,06007,0,1,0
201,06009,0,0,0
202,06011,0,0,0
203,06013,1,1,0
204,06015,0,0,0
205,06017,0,0,0
206,06019,1,1,0
207,06021,0,0,0
208,06023,0,1,0
209,06025,0,1,0
210,06027,0,0,0
211,06029,0,1,0
212,06031,0,0,0
213,06033,0,0,0
214,06035,0,0,0
215,06037,1,1,0
216,06039,0,0,0
217,06041,1,1,0
218,06043,0,0,0
219,06045,0,1,0
220,06047,0,1,0
221,06049,0,0,0
222,06051,0,0,0
223,06053,1,1,0
224,06055,0,0,0
225,06057,0,0,0
226,06059,1,1,0
227,06061,0,0,1
228,06063,0,0,0
229,06065,1,1,0
230,06067,1,1,0
231,06069,0,0,0
232,06071,0,1,1
233,06073,1,1,0
234,06075,1,1,0
235,06077,0,1,1
236,06079,1,1,0
237,06081,1,1,0
238,06083,1,1,0
239,06085,1,1,1
240,06087,1,1,0
241,06089,0,1,0
242,06091,0,0,0
243,06093,0,0,0
244,06095,0,1,0
245,06097,1,1,0
246,06099,0,1,0
247,06101,0,0,0
248,06103,0,0,0
249,06105,0,0,0
250,06107,0,1,0
251,06109,0,0,0
252,06111,1,1,0
253,06113,1,1,0
254,06115,0,0,0
255,08001,0,0,0
256,08003,0,0,0
257,08005,1,0,0
258,08007,0,0,0
259,08009,0,0,0
260,08011,0,0,0
261,08013,1,0,0
262,08014,1,1,1
263,08015,0,0,0
264,08017,0,0,0
265,08019,0,0,0
266,08021,0,0,0
267,08023,0,0,0
268,08025,0,0,0
269,08027,0,0,0
270,08029,0,0,0
271,08031,1,1,1
272,08033,0,0,0
273,08035,1,1,1
274,08037,0,0,0
275,08039,0,1,0
276,08041,1,1,1
277,08043,0,0,0
278,08045,0,1,0
279,08047,0,0,0
280,08049,0,0,0
281,08051,0,0,0
282,08053,0,0,0
283,08055,0,0,0
284,08057,0,0,0
285,08059,1,1,0
286,08061,0,0,0
287,08063,0,0,0
288,08065,0,0,0
289,08067,0,0,0
290,08069,1,1,0
291,08071,0,0,0
292,08073,0,0,0
293,08075,0,0,0
294,08077,0,0,1
295,08079,0,0,0
296,08081,0,0,0
297,08083,0,0,0
298,08085,0,0,0
299,08087,0,0,0
300,08089,0,0,0
301,08091,0,0,0
302,08093,0,0,0
303,08095,0,0,0
304,08097,1,0,0
305,08099,0,0,0
306,08101,0,0,0
307,08103,0,0,0
308,08105,0,0,0
309,08107,0,0,0
310,08109,0,0,0
311,08111,0,0,0
312,08113,0,0,0
313,08115,0,0,0
314,08117,1,0,0
315,08119,0,0,0
316,08121,0,0,0
317,08123,0,0,0
318,08125,0,0,0
319,09001,1,1,1
320,09003,1,1,1
321,09005,0,1,0
322,09007,0,0,0
323,09009,1,1,0
324,09011,0,1,0
325,09013,0,0,0
326,09015,0,0,0
327,10001,0,0,0
328,10003,0,1,1
329,10005,0,0,0
330,11001,1,1,0
331,12001,0,0,1
332,12003,0,0,0
333,12005,0,0,0
334,12007,0,0,0
335,12009,0,0,1
336,12011,1,1,1
337,12013,0,0,0
338,12015,0,0,0
339,12017,0,0,0
340,12019,0,0,0
341,12021,1,1,0
342,12023,0,0,0
343,12027,0,0,0
344,12029,0,0,0
345,12031,1,1,0
346,12033,0,0,0
347,12035,0,0,0
348,12037,0,0,0
349,12039,0,0,0
350,12041,0,0,0
351,12043,0,0,0
352,12045,0,0,0
353,12047,0,0,0
354,12049,0,0,0
355,12051,0,0,0
356,12053,0,0,0
357,12055,0,0,0
358,12057,1,1,1
359,12059,0,0,0
360,12061,0,0,0
361,12063,0,0,0
362,12065,0,0,0
363,12067,0,0,0
364,12069,0,0,0
365,12071,0,1,1
366,12073,1,1,1
367,12075,0,0,0
368,12077,0,0,0
369,12079,0,0,0
370,12081,0,1,0
371,12083,0,0,0
372,12085,0,0,0
373,12086,1,1,1
374,12087,0,0,1
375,12089,0,0,0
376,12091,1,0,1
377,12093,0,0,0
378,12095,1,1,1
379,12097,0,1,0
380,12099,1,1,0
381,12101,0,1,0
382,12103,1,1,0
383,12105,0,0,0
384,12107,0,0,0
385,12109,0,0,0
386,12111,0,0,1
387,12113,0,0,0
388,12115,1,1,0
389,12117,1,1,0
390,12119,0,0,0
391,12121,0,0,0
392,12123,0,0,0
393,12125,0,0,0
394,12127,0,0,1
395,12129,0,0,0
396,12131,0,0,0
397,12133,0,0,0
398,13001,0,0,0
399,13003,0,0,0
400,13005,0,0,0
401,13007,0,0,0
402,13009,0,0,0
403,13011,0,0,0
404,13013,0,0,0
405,13015,0,0,0
406,13017,0,0,0
407,13019,0,0,0
408,13021,0,0,0
409,13023,0,0,0
410,13025,0,0,0
411,13027,0,0,0
412,13029,0,0,0
413,13031,0,0,0
414,13033,0,0,0
415,13035,0,0,0
416,13037,0,0,0
417,13039,0,0,0
418,13043,0,0,0
419,13045,0,0,0
420,13047,0,0,0
421,13049,0,0,0
422,13051,1,0,1
423,13053,0,0,0
424,13055,0,0,0
425,13057,0,0,0
426,13059,0,0,0
427,13061,0,0,0
428,13063,0,1,0
429,13065,0,0,0
430,13067,1,1,1
431,13069,0,0,0
432,13071,0,0,0
433,13073,0,0,0
434,13075,0,0,0
435,13077,0,1,0
436,13079,0,0,0
437,13081,0,0,0
438,13083,0,0,0
439,13085,0,0,0
440,13087,0,0,0
441,13089,1,0,0
442,13091,0,0,0
443,13093,0,0,0
444,13095,0,0,0
445,13097,0,0,0
446,13099,0,0,0
447,13101,0,0,0
448,13103,0,0,0
449,13105,0,0,0
450,13107,0,0,0
451,13109,0,0,0
452,13111,0,0,0
453,13113,0,0,0
454,13115,0,0,0
455,13117,0,1,0
456,13119,0,0,0
457,13121,1,1,0
458,13123,0,0,0
459,13125,0,0,0
460,13127,0,0,0
461,13129,0,0,0
462,13131,0,0,0
463,13133,0,0,0
464,13135,1,1,1
465,13137,0,0,0
466,13139,0,1,0
467,13141,0,0,0
468,13143,0,0,0
469,13145,0,0,0
470,13147,0,0,0
471,13149,0,0,0
472,13151,0,0,0
473,13153,0,0,0
474,13155,0,0,0
475,13157,0,0,0
476,13159,0,0,0
477,13161,0,0,0
478,13163,0,0,0
479,13165,0,0,0
480,13167,0,0,0
481,13169,0,0,0
482,13171,0,0,0
483,13173,0,0,0
484,13175,0,0,0
485,13177,0,0,0
486,13179,0,0,0
487,13181,0,0,0
488,13183,0,0,0
489,13185,0,0,0
490,13187,0,0,0
491,13189,0,0,0
492,13191,0,0,0
493,13193,0,0,0
494,13195,0,0,0
495,13197,0,0,0
496,13199,0,0,0
497,13201,0,0,0
498,13205,0,0,0
499,13207,0,0,1
500,13209,0,0,0
501,13211,0,0,0
502,13213,0,0,0
503,13215,0,0,0
504,13217,0,0,0
505,13219,0,0,0
506,13221,0,0,0
507,13223,0,0,0
508,13225,0,0,0
509,13227,0,0,0
510,13229,0,0,0
511,13231,0,0,0
512,13233,0,0,0
513,13235,0,0,0
514,13237,0,0,0
515,13239,0,0,0
516,13241,0,0,0
517,13243,0,0,0
518,13245,1,1,1
519,13247,0,0,0
520,13249,0,0,0
521,13251,0,0,0
522,13253,0,0,0
523,13255,0,0,0
524,13257,0,0,0
525,13259,0,0,0
526,13261,0,0,0
527,13263,0,0,0
528,13265,0,0,0
529,13267,0,0,0
530,13269,0,0,0
531,13271,0,0,0
532,13273,0,0,0
533,13275,0,0,0
534,13277,0,0,0
535,13279,0,0,0
536,13281,0,0,0
537,13283,0,0,0
538,13285,0,0,0
539,13287,0,0,0
540,13289,0,0,0
541,13291,0,0,0
542,13293,0,0,0
543,13295,0,0,0
544,13297,0,0,0
545,13299,0,0,0
546,13301,0,0,0
547,13303,0,0,0
548,13305,0,0,0
549,13307,0,0,0
550,13309,0,0,0
551,13311,0,0,0
552,13313,0,1,0
553,13315,0,0,0
554,13317,0,0,0
555,13319,0,0,0
556,13321,0,0,0
557,15001,0,1,0
558,15003,1,1,0
559,15007,0,1,0
560,15009,1,1,0
561,16001,0,1,1
562,16003,0,0,0
563,16005,0,1,0
564,16007,0,0,0
565,16009,0,0,0
566,16011,0,0,0
567,16013,0,0,0
568,16015,1,0,0
569,16017,0,0,0
570,16019,0,0,1
571,16021,0,0,0
572,16023,0,0,0
573,16025,0,0,0
574,16027,0,1,0
575,16029,0,0,0
576,16031,0,0,0
577,16033,0,0,0
578,16035,0,0,0
579,16037,0,0,0
580,16039,0,0,0
581,16041,0,0,0
582,16043,0,0,0
583,16045,0,0,0
584,16047,0,0,0
585,16049,0,0,0
586,16051,0,1,0
587,16053,0,0,0
588,16055,0,1,1
589,16057,0,0,0
590,16059,0,0,0
591,16061,0,0,0
592,16063,0,0,0
593,16065,0,0,0
594,16067,0,0,0
595,16069,0,0,0
596,16071,0,0,0
597,16073,0,0,0
598,16075,0,0,0
599,16077,0,0,0
600,16079,0,0,0
601,16081,0,0,0
602,16083,0,1,0
603,16085,0,0,0
604,16087,0,0,0
605,17001,0,0,0
606,17003,0,0,0
607,17005,0,0,0
608,17007,0,0,0
609,17009,0,0,0
610,17011,0,0,0
611,17013,0,0,0
612,17015,0,0,0
613,17017,0,0,0
614,17019,0,1,0
615,17021,0,0,0
616,17023,0,0,0
617,17025,0,0,0
618,17027,0,0,0
619,17029,0,0,0
620,17031,1,1,0
621,17033,0,0,0
622,17035,0,0,0
623,17037,0,0,0
624,17039,0,0,0
625,17041,0,0,0
626,17043,1,1,0
627,17045,0,0,0
628,17047,0,0,0
629,17049,0,0,0
630,17051,0,0,0
631,17053,0,0,0
632,17055,0,0,0
633,17057,0,0,0
634,17059,0,0,0
635,17061,0,0,0
636,17063,0,0,0
637,17065,0,0,0
638,17067,0,0,0
639,17069,0,0,0
640,17071,0,0,0
641,17073,0,0,0
642,17075,0,0,0
643,17077,0,0,0
644,17079,0,0,0
645,17081,0,0,0
646,17083,0,0,0
647,17085,0,0,0
648,17087,0,0,0
649,17089,0,1,1
650,17091,0,0,0
651,17093,0,0,0
652,17095,0,0,0
653,17097,1,1,1
654,17099,0,0,0
655,17101,0,0,0
656,17103,0,0,0
657,17105,0,0,0
658,17107,0,0,0
659,17109,0,0,0
660,17111,0,1,0
661,17113,0,0,0
662,17115,0,0,0
663,17117,0,0,0
664,17119,0,0,0
665,17121,0,0,0
666,17123,0,0,0
667,17125,0,0,0
668,17127,0,0,0
669,17129,0,0,0
670,17131,0,0,0
671,17133,0,0,0
672,17135,0,0,0
673,17137,0,0,0
674,17139,0,0,0
675,17141,0,0,0
676,17143,0,0,0
677,17145,0,0,0
678,17147,0,0,0
679,17149,0,0,0
680,17151,0,0,0
681,17153,0,0,0
682,17155,0,0,0
683,17157,0,0,0
684,17159,0,0,0
685,17161,0,0,0
686,17163,0,0,0
687,17165,0,0,0
688,17167,0,0,0
689,17169,0,0,0
690,17171,0,0,0
691,17173,0,0,0
692,17175,0,0,0
693,17177,0,0,0
694,17179,0,0,0
695,17181,0,0,0
696,17183,0,0,0
697,17185,0,0,0
698,17187,0,0,0
699,17189,0,0,0
700,17191,0,0,0
701,17193,0,0,0
702,17195,0,0,0
703,17197,0,1,1
704,17199,0,0,0
705,17201,0,1,0
706,17203,0,1,1
707,18001,0,0,0
708,18003,0,1,0
709,18005,0,0,0
710,18007,0,0,0
711,18009,0,0,0
712,18011,0,0,0
713,18013,0,0,0
714,18015,0,0,0
715,18017,0,0,0
716,18019,0,0,1
717,18021,0,0,0
718,18023,0,0,0
719,18025,0,0,0
720,18027,0,0,0
721,18029,0,0,0
722,18031,0,0,0
723,18033,0,0,0
724,18035,0,0,0
725,18037,0,0,0
726,18039,0,0,0
727,18041,0,0,0
728,18043,0,0,0
729,18045,0,0,0
730,18047,0,0,0
731,18049,0,0,0
732,18051,0,0,0
733,18053,0,0,0
734,18055,0,0,0
735,18057,1,0,0
736,18059,0,0,0
737,18061,0,0,0
738,18063,0,0,0
739,18065,0,0,0
740,18067,0,0,0
741,18069,0,0,0
742,18071,0,0,0
743,18073,0,0,0
744,18075,0,0,0
745,18077,0,0,0
746,18079,0,0,0
747,18081,0,0,0
748,18083,0,0,0
749,18085,0,0,0
750,18087,0,0,0
751,18089,1,1,1
752,18091,0,0,0
753,18093,0,0,0
754,18095,0,0,1
755,18097,1,1,0
756,18099,0,0,0
757,18101,0,0,0
758,18103,0,0,0
759,18105,0,0,0
760,18107,0,0,0
761,18109,0,0,0
762,18111,0,0,0
763,18113,0,0,0
764,18115,0,0,0
765,18117,0,0,0
766,18119,0,0,0
767,18121,0,0,0
768,18123,0,0,0
769,18125,0,0,0
770,18127,0,0,1
771,18129,0,0,0
772,18131,0,0,0
773,18133,0,0,0
774,18135,0,0,0
775,18137,0,0,0
776,18139,0,0,0
777,18141,1,1,0
778,18143,0,0,0
779,18145,0,0,0
780,18147,0,0,0
781,18149,0,0,0
782,18151,0,0,0
783,18153,0,0,0
784,18155,0,0,0
785,18157,0,0,0
786,18159,0,0,0
787,18161,0,0,0
788,18163,0,1,0
789,18165,0,0,0
790,18167,0,0,0
791,18169,0,0,0
792,18171,0,0,0
793,18173,0,0,0
794,18175,0,0,0
795,18177,0,0,0
796,18179,0,0,0
797,18181,0,0,0
798,18183,0,0,0
799,19001,0,0,0
800,19003,0,0,0
801,19005,0,0,0
802,19007,0,0,0
803,19009,0,0,0
804,19011,0,0,0
805,19013,0,0,0
806,19015,0,0,0
807,19017,0,0,0
808,19019,0,0,0
809,19021,0,0,0
810,19023,0,0,0
811,19025,0,0,0
812,19027,0,0,0
813,19029,0,0,0
814,19031,0,0,0
815,19033,0,0,0
816,19035,0,0,0
817,19037,0,0,0
818,19039,0,0,0
819,19041,0,0,0
820,19043,0,0,0
821,19045,0,0,0
822,19047,0,0,0
823,19049,0,0,0
824,19051,0,0,0
825,19053,0,0,0
826,19055,0,0,0
827,19057,0,0,0
828,19059,0,0,0
829,19061,0,0,0
830,19063,0,0,0
831,19065,0,0,0
832,19067,0,0,0
833,19069,0,0,0
834,19071,0,0,0
835,19073,0,0,0
836,19075,0,0,0
837,19077,0,0,0
838,19079,0,0,0
839,19081,0,0,0
840,19083,0,0,0
841,19085,0,0,0
842,19087,0,0,0
843,19089,0,0,0
844,19091,0,0,0
845,19093,0,0,0
846,19095,0,0,0
847,19097,0,0,0
848,19099,0,0,0
849,19101,0,0,0
850,19103,0,1,0
851,19105,0,0,0
852,19107,0,0,0
853,19109,0,0,0
854,19111,0,0,0
855,19113,0,0,0
856,19115,0,0,0
857,19117,0,0,0
858,19119,0,0,0
859,19121,0,0,0
860,19123,0,0,0
861,19125,0,0,0
862,19127,0,0,0
863,19129,0,0,0
864,19131,0,0,0
865,19133,0,0,0
866,19135,0,0,0
867,19137,0,0,0
868,19139,0,0,0
869,19141,0,0,0
870,19143,0,0,0
871,19145,0,0,0
872,19147,0,0,0
873,19149,0,0,0
874,19151,0,0,0
875,19153,1,1,1
876,19155,0,0,1
877,19157,0,0,0
878,19159,0,0,0
879,19161,0,0,0
880,19163,0,1,0
881,19165,0,0,0
882,19167,0,0,0
883,19169,0,0,0
884,19171,0,0,0
885,19173,0,0,0
886,19175,0,0,0
887,19177,0,0,0
888,19179,0,0,0
889,19181,0,0,0
890,19183,0,0,0
891,19185,0,0,0
892,19187,0,0,0
893,19189,0,0,0
894,19191,0,0,0
895,19193,0,0,0
896,19195,0,0,0
897,19197,0,0,0
898,20001,0,0,0
899,20003,0,0,0
900,20005,0,0,0
901,20007,0,0,0
902,20009,0,0,0
903,20011,0,0,0
904,20013,0,0,0
905,20015,0,0,0
906,20017,0,0,0
907,20019,0,0,0
908,20021,0,0,0
909,20023,0,0,0
910,20025,0,0,0
911,20027,0,0,0
912,20029,0,0,0
913,20031,0,0,0
914,20033,0,0,0
915,20035,0,0,0
916,20037,0,0,0
917,20039,0,0,0
918,20041,0,0,0
919,20043,0,0,0
920,20045,0,0,0
921,20047,0,0,0
922,20049,0,0,0
923,20051,0,0,0
924,20053,0,0,0
925,20055,0,0,0
926,20057,0,0,0
927,20059,0,0,0
928,20061,0,0,0
929,20063,0,0,0
930,20065,0,0,0
931,20067,0,0,0
932,20069,0,0,0
933,20071,0,0,0
934,20073,0,0,0
935,20075,0,0,0
936,20077,0,0,0
937,20079,0,0,0
938,20081,0,0,0
939,20083,0,0,0
940,20085,0,0,0
941,20087,0,0,0
942,20089,0,0,0
943,20091,1,1,1
944,20093,0,0,0
945,20095,0,0,0
946,20097,0,0,0
947,20099,0,0,0
948,20101,0,0,0
949,20103,0,0,0
950,20105,0,0,0
951,20107,0,0,0
952,20109,0,0,0
953,20111,0,0,0
954,20113,0,0,0
955,20115,0,0,0
956,20117,0,0,0
957,20119,0,0,0
958,20121,0,0,0
959,20123,0,0,0
960,20125,0,0,0
961,20127,0,0,0
962,20129,0,0,0
963,20131,0,0,0
964,20133,0,0,0
965,20135,0,0,0
966,20137,0,0,0
967,20139,0,0,0
968,20141,0,0,0
969,20143,0,0,0
970,20145,0,0,0
971,20147,0,0,0
972,20149,0,0,0
973,20151,0,0,0
974,20153,0,0,0
975,20155,0,0,0
976,20157,0,0,0
977,20159,0,0,0
978,20161,0,0,0
979,20163,0,0,0
980,20165,0,0,0
981,20167,0,0,0
982,20169,0,0,0
983,20171,0,0,0
984,20173,1,1,1
985,20175,0,0,0
986,20177,0,0,0
987,20179,0,0,0
988,20181,0,0,0
989,20183,0,0,0
990,20185,0,0,0
991,20187,0,0,0
992,20189,0,0,0
993,20191,0,0,0
994,20193,0,0,0
995,20195,0,0,0
996,20197,0,0,0
997,20199,0,0,0
998,20201,0,0,0
999,20203,0,0,0
1000,20205,0,0,0
1001,20207,0,0,0
1002,20209,0,0,1
1003,21001,0,0,0
1004,21003,0,0,0
1005,21005,0,0,0
1006,21007,0,0,0
1007,21009,0,0,0
1008,21011,0,0,0
1009,21013,0,0,0
1010,21015,0,0,0
1011,21017,0,0,0
1012,21019,0,0,0
1013,21021,0,0,0
1014,21023,0,0,0
1015,21025,0,0,0
1016,21027,0,0,0
1017,21029,0,0,0
1018,21031,0,0,0
1019,21033,0,0,0
1020,21035,0,0,0
1021,21037,0,0,0
1022,21039,0,0,0
1023,21041,0,0,0
1024,21043,0,0,0
1025,21045,0,0,0
1026,21047,0,0,0
1027,21049,0,0,0
1028,21051,0,0,0
1029,21053,0,0,0
1030,21055,0,0,0
1031,21057,0,0,0
1032,21059,0,0,0
1033,21061,0,0,0
1034,21063,0,0,0
1035,21065,0,0,0
1036,21067,1,1,1
1037,21069,0,0,0
1038,21071,0,0,0
1039,21073,0,0,0
1040,21075,0,0,0
1041,21077,0,0,0
1042,21079,0,0,0
1043,21081,0,0,0
1044,21083,0,0,0
1045,21085,0,0,0
1046,21087,0,0,0
1047,21089,0,0,0
1048,21091,0,0,0
1049,21093,0,0,0
1050,21095,0,0,0
1051,21097,0,0,0
1052,21099,0,0,0
1053,21101,0,0,0
1054,21103,0,0,0
1055,21105,0,0,0
1056,21107,0,0,0
1057,21109,0,0,0
1058,21111,1,1,0
1059,21113,0,0,0
1060,21115,0,0,0
1061,21117,0,1,0
1062,21119,0,0,0
1063,21121,0,0,0
1064,21123,0,0,0
1065,21125,0,0,0
1066,21127,0,0,0
1067,21129,0,0,0
1068,21131,0,0,0
1069,21133,0,0,0
1070,21135,0,0,0
1071,21137,0,0,0
1072,21139,0,0,0
1073,21141,0,0,0
1074,21143,0,0,0
1075,21145,0,0,0
1076,21147,0,0,0
1077,21149,0,0,0
1078,21151,0,0,0
1079,21153,0,0,0
1080,21155,0,0,0
1081,21157,0,0,0
1082,21159,0,0,0
1083,21161,0,0,0
1084,21163,0,0,0
1085,21165,0,0,0
1086,21167,0,0,0
1087,21169,0,0,0
1088,21171,0,0,0
1089,21173,0,0,0
1090,21175,0,0,0
